p,q,r,theta_1,theta_2,theta_3,theta_4
1.57821,-0.00560947,-0.00380804,0.212457,-0.182544,0.0782328,0.00230122
1.58027,-0.00560641,-0.0054996,0.210922,-0.184078,0.0759325,0.000766754
1.58207,-0.00445121,-0.00778968,0.209389,-0.185612,0.074398,-0.000766754
1.58441,-0.00358821,-0.00909837,0.207854,-0.187146,0.0728645,-0.00230122
1.58608,-0.00403867,-0.010267,0.206321,-0.187913,0.0713301,-0.00383472
1.58711,-0.00553679,-0.0104072,0.204786,-0.189446,0.0697966,-0.00536919
1.58957,-0.00750463,-0.0120312,0.203253,-0.190981,0.0682621,-0.00690269
1.59255,-0.00815636,-0.0123077,0.201718,-0.192514,0.0659609,-0.00766945
1.59379,-0.00786638,-0.0124302,0.200185,-0.194049,0.0644274,-0.00920391
1.59474,-0.00707828,-0.0128837,0.19865,-0.195582,0.0628929,-0.0107374
1.59646,-0.00742312,-0.0138358,0.197117,-0.197117,0.0613594,-0.0122719
1.59843,-0.0077536,-0.0145075,0.195582,-0.19865,0.0590582,-0.0130386
1.59861,-0.00780416,-0.0147224,0.194049,-0.200185,0.0575247,-0.0145731
1.59864,-0.00827879,-0.0139349,0.192514,-0.201718,0.0559902,-0.0161066
1.59981,-0.00861749,-0.0146647,0.190981,-0.203253,0.0544567,-0.0176411
1.60031,-0.0087256,-0.0158754,0.189446,-0.204786,0.0529222,-0.0191746
1.60044,-0.00895887,-0.0158699,0.187146,-0.206321,0.0513887,-0.0199413
1.59985,-0.00948834,-0.0159774,0.185612,-0.207854,0.0498543,-0.0214758
1.59787,-0.0100875,-0.0160474,0.184078,-0.210155,0.0483208,-0.0230093
1.59581,-0.0107977,-0.0166189,0.182544,-0.211689,0.0467863,-0.0253105
1.593,-0.0115837,-0.0161512,0.180243,-0.213223,0.0460196,-0.026845
1.59083,-0.0109496,-0.0164132,0.178709,-0.214757,0.0444851,-0.0283785
1.58895,-0.00961688,-0.0159893,0.177175,-0.217058,0.0429516,-0.0299129
1.58646,-0.00994908,-0.0149261,0.175641,-0.218593,0.0414171,-0.0322132
1.58438,-0.00903646,-0.0137231,0.17334,-0.220126,0.0398836,-0.0337477
1.58174,-0.00709194,-0.0131496,0.171806,-0.221661,0.0383492,-0.0360489
1.57847,-0.00607324,-0.0118642,0.170272,-0.223194,0.0368156,-0.0375824
1.5748,-0.00596235,-0.0105473,0.168738,-0.224729,0.0352812,-0.0391169
1.57084,-0.00571281,-0.00990935,0.167204,-0.226262,0.0337477,-0.0414171
1.56683,-0.00572913,-0.00914206,0.16567,-0.228563,0.0322132,-0.0429516
1.56268,-0.00527148,-0.00890637,0.164136,-0.230097,0.0306797,-0.0444851
1.55906,-0.005048,-0.00861322,0.162602,-0.231631,0.0291452,-0.0460196
1.55569,-0.0054516,-0.00856464,0.161068,-0.232398,0.0276117,-0.0475531
1.55157,-0.00589025,-0.00812636,0.160301,-0.233932,0.0260773,-0.0490875
1.54599,-0.00679697,-0.00698652,0.158767,-0.235466,0.0245438,-0.050621
1.54106,-0.00680606,-0.00654136,0.157233,-0.237,0.0230093,-0.0513887
1.53578,-0.0077467,-0.00582928,0.155699,-0.238534,0.0214758,-0.0529222
1.53016,-0.00888378,-0.00673638,0.154932,-0.239301,0.0199413,-0.0544567
1.52537,-0.00854487,-0.00731467,0.153399,-0.240835,0.0176411,-0.0559902
1.52095,-0.00703126,-0.0066637,0.151864,-0.242369,0.0161066,-0.056757
1.51799,-0.00573441,-0.00601835,0.150331,-0.243903,0.0145731,-0.0582914
1.51491,-0.00487209,-0.00550087,0.149563,-0.24467,0.0138054,-0.0590582
1.51198,-0.00534583,-0.00587865,0.148029,-0.246204,0.0122719,-0.0605927
1.50824,-0.00480686,-0.00579715,0.146495,-0.247738,0.0107374,-0.0613594
1.50371,-0.0044,-0.00644608,0.144961,-0.249272,0.00920391,-0.0628929
1.4989,-0.00542862,-0.00657932,0.144195,-0.250806,0.00766945,-0.0636606
1.49426,-0.00794512,-0.00835089,0.14266,-0.251573,0.00613594,-0.0651941
