p,q,r,theta_1,theta_2,theta_3,theta_4
-1.52181,0.00742172,0.0139192,0.315233,-0.0989418,0.158767,0.0920391
-1.51454,0.00654256,0.0160098,0.316767,-0.0974083,0.160301,0.0928059
-1.50886,0.00570249,0.017224,0.317534,-0.0958738,0.161835,0.0943403
-1.50106,0.0059728,0.0184856,0.319068,-0.0943403,0.163369,0.0958738
-1.49275,0.00671187,0.0193253,0.320602,-0.0935726,0.164903,0.0974083
-1.48577,0.00536772,0.0189772,0.322136,-0.0920391,0.166437,0.098175
-1.47907,0.00492205,0.019905,0.322903,-0.0905046,0.167971,0.0997086
-1.47259,0.0047391,0.0204763,0.324437,-0.0889711,0.169505,0.101243
-1.46506,0.00535577,0.0196579,0.325971,-0.0874367,0.171039,0.102777
-1.45659,0.00647066,0.0188677,0.327505,-0.0859032,0.172573,0.104311
-1.44776,0.00715987,0.0196156,0.328272,-0.0851364,0.174107,0.105078
-1.43827,0.00632983,0.0204388,0.329806,-0.083602,0.175641,0.106611
-1.42899,0.00530753,0.0204719,0.33134,-0.0820684,0.177175,0.108146
-1.42171,0.00571319,0.0211887,0.332874,-0.080534,0.178709,0.109679
-1.415,0.00491124,0.0228912,0.334408,-0.0790005,0.179476,0.11198
-1.40689,0.00344369,0.0226902,0.335942,-0.077466,0.18101,0.113515
-1.39758,0.00290576,0.0229867,0.336709,-0.0759325,0.182544,0.115048
-1.38662,0.0029536,0.0234536,0.338243,-0.074398,0.184078,0.116583
-1.37656,0.00363772,0.0231391,0.339777,-0.0728645,0.184845,0.11735
-1.36675,0.00253831,0.0238699,0.341311,-0.0713301,0.186378,0.118883
-1.35654,0.00231531,0.0248494,0.342845,-0.0697966,0.187146,0.120418
-1.34845,0.0041803,0.0242132,0.344378,-0.0682621,0.18868,0.121951
-1.33967,0.00627386,0.0244085,0.345913,-0.0667286,0.189446,0.122719
-1.33064,0.00616918,0.0239076,0.347446,-0.0659609,0.190981,0.124252
-1.32156,0.00547594,0.0238293,0.348981,-0.0636606,0.192514,0.125019
-1.31285,0.00596735,0.0246266,0.349748,-0.0628929,0.193282,0.126554
-1.3026,0.00557535,0.0241629,0.351282,-0.0613594,0.194816,0.12732
-1.29214,0.00581508,0.0235909,0.352816,-0.0598249,0.195582,0.128855
-1.28132,0.00594124,0.0235712,0.35435,-0.0582914,0.19635,0.129622
-1.2709,0.00568116,0.0238187,0.355884,-0.056757,0.197884,0.130388
-1.26228,0.00558713,0.0227739,0.35665,-0.0559902,0.19865,0.131155
-1.25418,0.00623125,0.0222851,0.358185,-0.0544567,0.200185,0.132689
-1.24462,0.00583244,0.0226804,0.359718,-0.0529222,0.200952,0.133456
